OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41454,2017,CA,CDF,TCU,HARNEY,00011513,2017/09/24 00:00:00+00,2017/09/24 00:00:00+00,11,,,37.42142868,1,1,,244961.779547635,2951.13698996711
41455,2017,CA,CDF,TCU,JACKSONVILLE,00009024,2017/07/29 00:00:00+00,2017/07/30 00:00:00+00,14,,,684.35650635,1,1,,4455425.39877829,14049.8919800448
41456,2017,CA,CDF,TCU,LAKE,00008047,2017/07/08 00:00:00+00,2017/07/08 00:00:00+00,14,,,62.34453583,1,1,,403196.13937282,3189.55809461654
41457,2017,CA,CDF,TCU,MARIA,00008497,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,14,,,114.56008148,1,1,,753888.704864525,4994.45207050307
41458,2017,CA,CDF,TCU,MILTON,00012544,2017/10/18 00:00:00+00,2017/10/18 00:00:00+00,2,,,17.96166611,1,1,,117370.329602605,1672.49455757387
41459,2017,CA,CDF,TCU,ORANGE,00007220,2017/06/21 00:00:00+00,2017/06/21 00:00:00+00,2,,,64.52619171,1,1,,419304.825570355,4842.11290015984
41460,2017,CA,CDF,TCU,PALOMA,00008560,2017/07/18 00:00:00+00,2017/07/18 00:00:00+00,14,,,13.38322639,1,1,,87981.969545995,1458.98856721061
41461,2017,CA,CDF,TCU,QUAIL,00008249,2017/07/12 00:00:00+00,2017/07/12 00:00:00+00,2,,,59.38209152,1,1,,389527.24074872,3107.30468132681
41462,2017,CA,CDF,TCU,RED,00006716,2017/06/11 00:00:00+00,2017/06/11 00:00:00+00,14,,,38.10065842,1,1,,247730.30889384,2837.98176073129
41463,2017,CA,CDF,TCU,TABLE,00011308,2017/09/19 00:00:00+00,2017/09/19 00:00:00+00,11,,,38.80263138,1,1,,252657.5038461,3390.4128892016
41464,2017,CA,CDF,TCU,TWIST,00009089,2017/07/30 00:00:00+00,2017/07/30 00:00:00+00,14,,,124.24395752,1,1,,808519.658384145,6554.24368660986
41465,2017,CA,CDF,TCU,WILLMS,00008573,2017/07/18 00:00:00+00,2017/07/18 00:00:00+00,14,,,18.74329567,1,1,,121753.29649217,1580.73594984886
41466,2017,CA,CDF,TCU,ZAMORA,00009864,2017/08/15 00:00:00+00,2017/08/15 00:00:00+00,14,,,23.79607582,1,1,,153833.549962765,1763.77692617784
41467,2017,CA,CDF,TCU,POINT,00012170,2017/10/09 00:00:00+00,2017/10/09 00:00:00+00,11,October 2017 Siege,130,130.23573303,1,1,,859542.82655648,7792.19846298383
41468,2017,CA,CDF,SLU,ROCKY,00005555,2017/05/20 00:00:00+00,2017/05/20 00:00:00+00,2,non commercial use,20,21.92779922,6,1,,134124.56617916,2569.15329059919
41469,2017,CA,CDF,SLU,SHANDON,00005101,2017/05/07 00:00:00+00,2017/05/07 00:00:00+00,10,Hot Exhaust,12,12.07228279,6,1,,74235.09850104,1323.80375657727
41470,2017,CA,CDF,SLU,SOLAR,00006106,2017/06/03 00:00:00+00,2017/06/03 00:00:00+00,14,Solar Panel Electrical Failure,10,11.10915947,1,1,,67691.211591025,1194.51521323865
41471,2017,CA,CDF,SLU,LUCY,00006548,2017/06/14 00:00:00+00,2017/06/14 00:00:00+00,11,Bird into energized power lines,150,147.66703796,1,1,,908154.162739755,4612.82258883851
41472,2017,CA,CDF,SLU,TOWER,00007678,2017/07/07 00:00:00+00,2017/07/07 00:00:00+00,10,,65,63.51401901,1,1,,387219.906002485,3058.47416380632
41473,2017,CA,CDF,SLU,OLIVE,00008451,2017/07/24 00:00:00+00,2017/07/24 00:00:00+00,10,Overheated brake and or AC clutch parts,251,236.86782837,1,1,,1459364.45176254,6779.90840506356
41474,2017,CA,CDF,SLU,CYPRESS,00008470,2017/07/24 00:00:00+00,2017/07/24 00:00:00+00,11,Powerlines/vegetation contact,25,21.28954697,7,1,,130610.95424941,1836.49875921536
